NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
21;82;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 317 DE SAMAMBAIA;QR 317 AREA ESPECIAL 3 LOTE 11
10;170;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 1 DO RIACHO FUNDO II;QC 4 CONJ 18 LOTE 2
16;218;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 61;QNQ 4 LOTE A SETOR Q
17;295;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 03 DO GAMA;E/Q 10/15 - AE SETOR LESTE
16;285;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 28;QNP 21 AREA ESPECIAL - SETOR HABITACIONAL SOL NASCENTE
9;130;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 3;EQ 17/19 AE A
9;359;WELLINGTON LUIZ DE SOUZA SILVA;8;COLEGIO ELITE (ANTIGO JK);QE 08 AREA ESPECIAL 1
13;407;WELLINGTON LUIZ DE SOUZA SILVA;8;CAIC HELENA REIS;QR 409 AE 01
13;281;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 407;QR 407/409 AE 01
21;207;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 512 DE SAMAMBAIA;QN 512 CONJUNTO 06 AE
6;264;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
13;257;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 121;QS 121 CONJUNTO 01 LOTE 01
10;293;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO MEDIO - JULIA KUBITSCHEK;QRO A AE 01
13;445;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 427;QN 427 AE 2
10;303;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL AGROURBANO IPE;COMBINADO AGROURBANO I (CAUB I) IPE/RIACHO FUNDO
1;252;WELLINGTON LUIZ DE SOUZA SILVA;8;CEM ELEFANTE BRANCO;SGAS 708/908 MODULOS 25/26 AREA ESPECIAL - ALA SUL
6;430;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 15;ESTANCIA NOVA PLANALTINA QUADRA 01 AREA ESPECIAL
20;212;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 32 (ANTIGA E.C. 67);SHPS - EQ. 500/700 A.E - COND. POR DO SOL
13;525;WELLINGTON LUIZ DE SOUZA SILVA;8;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
20;111;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 06;QNP 16  A.E
19;308;WELLINGTON LUIZ DE SOUZA SILVA;8;COLEGIO VITORIA REGIA (ANTIGO COLEGIO MAXIMUS);RUA 06 CH. 276
16;240;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 65;QNR 02 - AREA ESPECIAL 04
13;422;WELLINGTON LUIZ DE SOUZA SILVA;8;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
9;193;WELLINGTON LUIZ DE SOUZA SILVA;8;COLEGIO ROGACIONISTA;AREA ESPECIAL 08 MODULO B
10;23;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 5;2 AV ENTREBLOCOS 1400/1500
17;329;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
18;305;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL DO LAGO SUL - CEL;SHIS QI 09 AREA ESPECIAL
13;533;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 427;QN 427 AE 2
6;105;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL TAQUARA;BR 020 DF 019 NUCLEO RURAL TAQUARA
10;215;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL  VARGEM BONITA;NUCLEO HABIT. SUL-AE 01 LOT F-PROX  Q17  PARK WAY VARGEM BONITA 71750
19;306;WELLINGTON LUIZ DE SOUZA SILVA;8;INSTITUTO EDUCACIONAL MONTESQUIEU;RUA 10 CH 323/1
10;175;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
19;130;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE N 18;QND 12 LOTE 41 AREA ESPECIAL
9;357;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA  CLASSE 03  (ANTIGO PADRE DI FRANCIA);QE 42 AE 01
17;334;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
10;104;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
13;341;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 604;QS 604 AE
13;264;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 404;QS 404 AREA ESPECIAL 01
21;18;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 405 DO RECANTO DAS EMAS;QD 405 CONJUNTO 15 LOTE 01 AE
13;522;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO MEDIO 304;QR 304 CONJUNTO 04 LOTE 01
15;514;WELLINGTON LUIZ DE SOUZA SILVA;7;COLEGIO LEONARDO DA VINCI;QS 03 RUA 420 LOTE 02
2;263;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE;SHIN QI 04/06 AE LAGO NORTE
10;169;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE AGROVILA II;EPCT DF 001 - SENTIDO GAMA/TAGUAT-CAUB II -
3;566;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE N 53;QNL 16  VIA 02 LOTE 1
21;86;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 507 DE SAMAMBAIA;QR 507 CONJUNTO 07 LOTE 1
13;121;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 123;QR 123 AE SETOR SUL - SAMAMBAIA SUL
